time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts_energy,carts-db_energy,catalogue_energy,catalogue-db_energy,front-end_energy,orders_energy,orders-db_energy,payment_energy,queue-master_energy,rabbitmq_energy,shipping_energy,user_energy,user-db_energy,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1701272077.555,32.36436394702178,6.204526108450282,1.69540496676396,1.1378981668071784,6.800590457855409,52.82353485184827,0.5705723293846684,0.2602866440813149,0.5375652357005967,9.44579965326052,0.5166962974355149,1.4269226438985183,1.1681626214132583,25664059.682511102,4101751.9756151536,925267.692556208,6507.042231754674,2366906.820169364,54592915.34940901,2875212.0007388834,819592.8081820001,65794848.69802403,8880708.667038662,30618555.84221043,782557.028363054,3510046.32414954,13473440.84323147,361461.6204116781,1527.525434168152,5785.008991336399,1785514.7416080683,20948585.17815555,0.0,233.2927899990676,9144.672734578924,6575478.660262925,5588374.672961136,9522.901745759687,25.3257077544803,0.0,3342.1096842588927,0.0,0.0,0.0,11024222.183957996,37.17283188731985,0.0,0.0,0.0,0.0,0.0,12.373201868063484,4.710359829515151,0.7123132913535352,0.2573293447010099,0.1503368293232319,0.6688538374767674,2.1902504163373737,0.184100727272727,0.0961170243636361,0.1174941212121209,2.641923537745454,0.1586213759050502,0.1613192512363633,0.241451439393939,0.9420719659030302,0.142462658270707,0.0514658689402019,0.0300673658646464,0.1337707674953535,0.4380500832674747,0.0368201454545454,0.0192234048727272,0.0234988242424242,0.528384707549091,0.03172427518101,0.0322638502472726,0.0482902878787878
1701272107.555,54.32368044836355,17.441746544719347,3.947808736533083,2.92663789377313,19.15198129489607,204.62214445802667,0.5157241797640266,0.4365978771864849,0.5634611736646767,7.341216606132388,1.2112825498354918,3.914824932931978,2.033263927757537,41837398.623775005,3786071.426921893,1395982.4653580731,12907506.274773829,5033614.444550917,84653344.87207943,2338936.12968266,384184.6858017996,26454854.45091321,9262471.9700121,28557323.679892883,960973.740385148,1453602.49540539,44889366.38537216,2614306.9255746417,2155.4900233967496,5919.164852164461,6168957.367585868,82232306.96556096,0.0,619.6840924162246,11240.396151577916,5949319.161345848,12892.179457960645,10320.526436383432,104077.87314241094,0.0,9627.93048506215,0.0,0.0,0.0,30068212.846217256,0.0,0.0,0.0,0.0,0.0,0.0,49.99839994647528,6.694663261969698,1.5626649027131314,0.3900527643333331,0.2484414955636361,1.554988461210101,11.462931615554645,0.0910559848484846,0.064475791212121,0.0832858030303027,1.3406319229575756,0.1887285013696966,0.2625940526848482,0.1635473939393936,1.3389326523939395,0.3125329805426262,0.0780105528666666,0.0496882991127272,0.3109976922420202,2.2925863231109287,0.0182111969696969,0.0128951582424242,0.0166571606060605,0.2681263845915151,0.0377457002739393,0.0525188105369696,0.0327094787878787
1701272137.555,43.36582552144164,20.97407024236699,4.42010523249035,3.40192248142982,23.95965122680762,276.25325140737493,0.4866809713766,0.5279430767638084,0.2638737139580333,6.339901439413503,1.5400208541673637,5.339836219858157,2.569384754587755,47609721.9302693,2138677.6416130103,1318930.3621907616,31232358.987725604,7040197.271020281,117577740.28856498,1672974.953244866,294894.36746756354,44307164.45169023,11814145.29996842,26281744.64246763,976786.289215032,2528569.34860995,49398440.53137109,3567949.165020468,661.9184088918925,589.1204575780895,5869640.129184512,71139799.6367289,0.0,543.6641485534338,1073.2628829305715,9366446.654734517,6769637.008763213,7748.994540713032,2163994.2579581686,0.0,12537.243618430291,0.0,0.0,0.0,44893361.19935194,74.74648546137036,0.0,0.0,0.0,0.0,0.0,73.61575630926707,3.7170909848484848,1.7083220757575752,0.3588795151515148,0.2616664545454543,1.7361762121212116,20.902900721503435,0.0644808689191917,0.0539655708040401,0.0264986969696967,0.5407019393939391,0.2177566415212118,0.3212243333333331,0.1962750151515149,0.7434181969696968,0.3416644151515151,0.0717759030303029,0.0523332909090908,0.3472352424242423,4.180580144300687,0.0128961737838383,0.010793114160808,0.0052997393939393,0.1081403878787878,0.0435513283042423,0.0642448666666666,0.0392550030303029
1701272167.555,40.592167070884805,21.743750907854988,4.476973048608795,3.4945720059220964,24.511908138447097,270.6884643164367,0.520892829120515,0.5390800195681867,0.3159791527095083,6.346143330992184,0.5354903878763416,5.5936909778127015,2.680838783355973,41668225.2807124,2357829.930550436,1556777.8566193292,31337136.03410369,10123609.860287698,152516969.24882993,1672468.3673983105,176312.95120454297,52701616.885126926,12480801.13856513,23890897.72868258,891998.2393582878,3334921.209266326,27820503.44651326,2658459.8752770736,344.1137373103674,148.54547178024112,6248386.019994099,76726155.30716603,0.0,468.0164163375653,790.1370369702564,10541118.881135557,5612613.079284996,7740.906501680975,2716712.6286843126,0.0,12550.184150776511,0.0,0.0,0.0,49940486.2243802,62.32300897130401,0.0,0.0,0.0,0.0,0.0,37.43718658738984,3.609170363636364,1.6025460454545453,0.3454763484848482,0.2699319393939391,2.028069893939393,22.857191287878788,0.0550171979474745,0.057174333333333,0.0359020105212119,0.3910287727272725,0.0436859954505048,0.35252753030303,0.2865509848484845,0.7218340727272726,0.3205092090909091,0.0690952696969696,0.0539863878787878,0.4056139787878787,4.571438257575757,0.0110034395894949,0.0114348666666666,0.0071804021042423,0.0782057545454545,0.0087371990901009,0.070505506060606,0.0573101969696969
1701272197.555,39.34562207233338,22.8290251088324,4.563672794854932,3.5479327037105235,24.604498282783965,267.5334100297886,0.5170701815714867,0.5373689487578016,0.255008733496595,6.403972149691949,0.1986017964178199,5.384432445451339,2.6074906932730912,40566462.99460491,3304489.039037362,1501993.0279579272,22939120.72867801,8336384.863103532,144107711.8867214,2226020.225945287,30366.66303271345,40048410.51885206,11894230.406262062,33107893.33148276,1130691.2990380726,2682726.911066268,27921058.39458589,2909513.406277588,136.1139639696437,49.2295922275768,7932886.262285014,90266792.14468952,0.0,372.37761476065447,288.22962599716425,9420256.278363714,0.0,11305.998094493962,1153858.8630716812,0.0,12000.004711254216,0.0,0.0,0.0,41960206.65538067,0.0,0.0,0.0,0.0,0.0,0.0,75.18608561652165,4.004181606060606,1.633170212121212,0.4229902727272724,0.2526963181818178,1.8208555909090909,21.244134111171714,0.044248862963636,0.0503482796888885,0.0271900606060603,0.3635941363636361,0.0200080037939392,0.4170870909090906,0.2787583030303027,0.8008363212121211,0.3266340424242424,0.0845980545454545,0.0505392636363635,0.3641711181818181,4.248826822234343,0.0088497725927272,0.0100696559377777,0.005438012121212,0.0727188272727272,0.0040016007587878,0.0834174181818181,0.0557516606060605
1701272227.555,39.89087510219829,22.496128569817103,4.484329794412886,3.50323000486249,24.329903009668985,263.1284558463942,0.49498845885283,0.525592216745005,0.2125698090572533,6.289317747531945,0.1904568386354682,5.24461670447178,2.549679492460797,35461254.94708421,3777635.127669675,1208834.364494204,20013938.309557933,7122579.070435139,136255108.86805245,3016501.746921234,297.3547575904637,52803943.838749714,11885902.426713755,33297002.30986108,1517698.7349959174,2893405.4290527,31380690.0384341,3609883.499759624,310.3413721019832,3639833.963164255,6859708.415555497,68842211.67986338,0.0,272.5036863144598,259.682446065152,7212679.127628144,0.0,7022.97071270534,627095.4691727038,0.0,11925.14001540084,0.0,0.0,0.0,39891945.43382886,49.885541770738335,0.0,0.0,0.0,0.0,0.0,36.95894101559768,3.3916620454545456,1.209227893939394,0.4483891969696967,0.2760338030303029,1.8725034848484847,20.944693651515152,0.0455979090909089,0.0491600454545451,0.0223222198787877,0.4635454848484846,0.0216983568848482,0.5183280909090908,0.2236565606060602,0.6783324090909092,0.2418455787878787,0.0896778393939393,0.0552067606060605,0.3745006969696969,4.18893873030303,0.0091195818181817,0.009832009090909,0.0044644439757575,0.0927090969696969,0.0043396713769696,0.1036656181818181,0.044731312121212
1701272257.555,35.844216592891264,21.160002554848177,4.455053004903538,3.565639802032193,24.1428044341464,266.5247831686457,0.4760217880936967,0.55064712406941,0.1881270221642582,6.228270661981781,0.1832449611983799,5.326304101993043,2.5412586924661134,29133831.54787159,4310143.133482953,966318.0985465152,25949443.859446976,10725422.583413403,110994026.38971847,2317456.619515223,179036.86568032057,61717772.2119382,12191049.276910452,24015869.13290537,2136799.814311988,2209433.909354743,13193895.559258534,3634081.973077972,424.3315204215187,4377357.109332167,7392202.16345569,52298091.25322783,0.0,163.27521601227747,223.05905216931785,8109686.7411028,0.0,865.6864485939514,103198.56214366952,0.0,11858.004952416006,0.0,0.0,0.0,38821585.84888141,73.9488183579685,0.0,0.0,0.0,0.0,0.0,99.2161835044138,2.501948955277108,1.0729419575602208,0.4062071878554276,0.2886873954925052,2.519463180426497,23.718369047649503,0.0453296818011023,0.0569561255607232,0.0181722890882533,0.6155110407638067,0.019048106137738,0.5548456191576501,0.2132971333240772,0.5003897910554216,0.2145883915120442,0.0812414375710855,0.057737479098501,0.5038926360852994,4.743673809529901,0.0090659363602204,0.0113912251121446,0.0036344578176506,0.1231022081527613,0.0038096212275476,0.11096912383153,0.0426594266648154
1701272287.555,32.72051123667672,20.882293766468877,4.489878418123968,3.5654378339800754,25.08077776881684,265.22094816344605,0.4876353245940983,0.544938320880135,0.1970254210018567,6.357020002439374,0.1910558036518883,5.405747017391112,2.5799877920892285,41436072.73256757,4637163.493654761,1067284.6584854198,36987443.30832935,8998529.525619322,140315171.01286373,1663542.4969004013,357761.7563217683,70704661.67353268,11416406.93197465,15746735.964692531,1826460.9896634964,1432165.4707964098,4807962.956653203,3500256.470748769,73.85950897201649,24.693144276447462,6757644.782934324,30097183.51241629,0.0,162.15857859403556,99.53366565445192,9022790.98498248,1109654.4457585206,1414.0368748602605,37.16233656847188,0.0,11872.58673814697,0.0,0.0,0.0,46259210.23229435,12.330070199520764,0.0,0.0,0.0,0.0,0.0,221.3750861509149,2.141486439393939,1.3216560454545452,0.4185948181818179,0.2879960757575755,2.50124046969697,23.449278309581818,0.0454704848484845,0.0548000151515147,0.0180045757575755,0.4793300410666665,0.0201276212121209,0.5753883484848482,0.202277833333333,0.4282972878787879,0.264331209090909,0.0837189636363636,0.0575992151515151,0.500248093939394,4.689855661916363,0.0090940969696969,0.0109600030303029,0.0036009151515151,0.0958660082133333,0.0040255242424241,0.1150776696969696,0.0404555666666666
1701272317.555,32.6855920756688,21.473750224107444,4.515481704916922,3.526606347205328,25.417753713733948,260.6838061967101,0.4846840123329017,0.5095919599595534,0.2041733299749366,6.159724696779551,0.2484124646940166,5.15386588599294,2.5901627928134414,45542000.521522224,5110481.963036997,1420484.655293815,35655245.508060455,7868482.510052751,160069592.74303612,3683154.957885968,294966.07141927193,87928639.75729029,9566647.439276673,17088479.725719918,1675412.836599355,1443240.6905269723,8188.712246168139,3231362.8590200203,62.082838057930985,2901428.9067591443,6939765.40551386,52297751.79687042,0.0,296.3718826563384,185.64787676391023,7767197.365233085,6752648.308890835,958.0801534889237,148.6677569914603,0.0,12045.059820954795,0.0,0.0,0.0,51692599.89317813,149.99286932118216,0.0,0.0,0.0,0.0,0.0,87.61375125231973,2.4557095873387134,1.295374204124778,0.4601196738829067,0.3163408156230471,2.1208800912969834,23.861752548006155,0.0491540457278334,0.0539766610350566,0.0186513976083976,0.4897167985356176,0.0268157294460732,0.5163503421198785,0.215290729611104,0.4911419174677425,0.2590748408249556,0.0920239347765813,0.0632681631246094,0.4241760182593967,4.772350509601231,0.0098308091455666,0.0107953322070113,0.0037302795216795,0.0979433597071235,0.0053631458892146,0.1032700684239757,0.0430581459222208
1701272347.555,33.22524623870071,21.82449308638429,4.521662892054374,3.5928372463878464,24.7589462842015,258.3938574031525,0.4527425192312833,0.5182427627778033,0.1989448581733166,5.893331010913428,0.2283977791480249,5.04067039483783,2.58473547166014,41536485.885146566,5393396.934334573,1774170.4763109798,24342083.29306149,10846929.8049424,135195527.8622093,4203562.725412025,356003.07191669795,52897895.5466464,10649227.75010557,28727389.774266213,1670480.839653134,673070.457165909,4846790.929354801,2916126.265200068,161.486523108168,4361685.288505307,7774230.051960934,60342102.832793504,0.0,149.6353264006414,111.61864684386258,8061837.71230388,4536255.15496314,471.8167757037007,2731.54407674628,0.0,12191.1078420305,0.0,0.0,0.0,40941048.82304293,222.7108755775373,0.0,0.0,0.0,0.0,0.0,74.82923609324656,3.403768166666666,1.971548287878788,0.4530456060606058,0.2806245454545451,2.079453454545454,22.267730090909087,0.046762636363636,0.0587973037494947,0.0161069090909088,0.601805803030303,0.0230906653696968,0.3781652878787877,0.1701165757575754,0.6807536333333332,0.3943096575757576,0.0906091212121211,0.056124909090909,0.4158906909090908,4.453546018181818,0.0093525272727272,0.0117594607498989,0.0032213818181817,0.1203611606060605,0.0046181330739393,0.0756330575757575,0.0340233151515151
