time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts_energy,carts-db_energy,catalogue_energy,catalogue-db_energy,front-end_energy,orders_energy,orders-db_energy,payment_energy,queue-master_energy,rabbitmq_energy,shipping_energy,user_energy,user-db_energy,carts_energy_Anomaly,carts_energy_Anomaly_Score,carts-db_energy_Anomaly,carts-db_energy_Anomaly_Score,catalogue_energy_Anomaly,catalogue_energy_Anomaly_Score,catalogue-db_energy_Anomaly,catalogue-db_energy_Anomaly_Score,front-end_energy_Anomaly,front-end_energy_Anomaly_Score,orders_energy_Anomaly,orders_energy_Anomaly_Score,orders-db_energy_Anomaly,orders-db_energy_Anomaly_Score,payment_energy_Anomaly,payment_energy_Anomaly_Score,queue-master_energy_Anomaly,queue-master_energy_Anomaly_Score,rabbitmq_energy_Anomaly,rabbitmq_energy_Anomaly_Score,shipping_energy_Anomaly,shipping_energy_Anomaly_Score,user_energy_Anomaly,user_energy_Anomaly_Score,user-db_energy_Anomaly,user-db_energy_Anomaly_Score
1701325328.969,0.70606585772242,0.8019208020611601,0.63347244093114,0.25158472229851,2.12206788811238,0.23953266604534,0.6180236370752801,0.33260308372353,0.5460691215552,9.6726650660628,0.34953522001194,0.58852678293774,0.97156075356081,14937240.22022602,7936659.572084687,942767.5985062649,8799548.206339614,3836470.147844154,28442674.50446252,2741380.0533055,745189.1816339366,157992139.5027122,12911642.52982187,34834720.292504564,1530331.466252037,2746029.8725220216,0.0,611.7770060864045,500.33155341500026,0.0,66464.96213747274,0.0,0,429.3801104200153,26194105.646365,7251168.161474957,6875648.342896446,0.0,373.4977112322872,0,458.8327545648034,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.1782356573090905,0.2212224545454544,0.2269512731181815,0.080765545454545,0.541166262681818,0.0712491818181815,0.1818743636363635,0.1425351818181815,0.228918649463636,2.415607654309091,0.114451727272727,0.230986285654545,0.3527685454545449,0,1.2401831680012378,0,-0.0679572193720901,1,13.708183918093027,1,7.563597306149234,1,103.95394638373072,0,-0.051955568636913085,0,0.21253099143029885,1,0.2751956271755489,1,1.062614695176194,0,12.78199191552281,0,-0.05724051742873826,0,0.024921041150662404,1,0.2602408215658649
1701325333.969,0.88840919615313,0.95484081413638,1.04189017810002,0.53677971159259,4.0084693770468,17.00468140483811,0.62931766829593,0.31653872455193,0.54803655338114,9.70045694914035,0.35330897326875,0.73242731344098,1.01903416844929,22445202.975866448,5903939.309834397,1268187.110626166,8727386.42596393,4070357.849789213,28509789.56572428,2723159.001703325,558629.6850530711,132660427.34258936,15187332.134378824,28459983.879912738,1856022.1376686268,3407962.292882781,0.0,985.2530298825054,504.5932913308226,0.0,100345.2930214044,4321930.632468668,0,498.9037758830694,26394758.32217596,9138063.73642184,7022201.057418566,0.0,445.5240926724919,0,682.0982514571191,0,0,0,2313576.368561158,0.0,0,0,0,0,0,0.0,0.1938448944484845,0.221736636363636,0.2762363636363635,0.0822819090909089,0.81333727330303,0.0648289090909089,0.1723724545454545,0.138275265872727,0.2197762350757575,2.094336108854545,0.1080314545454545,0.2374116099818179,0.333764727272727,0,0.9504642383894293,0,-0.06871390150712386,1,10.912081483238694,1,7.49505041713843,1,85.25177207753455,0,-0.04721313368031588,0,0.14168323170895292,1,0.23901039906860433,1,0.9008581511254761,0,-1.0096578623123378,0,-0.07837767318159194,0,-0.007814194252659945,1,0.17418345905121102
1701325338.969,0.95671103412973,0.95948409177681,1.41738408998708,0.8416315385876301,5.36397113970252,39.54707013569793,0.61044042001414,0.31187449848859,0.54350205952143,9.59285721691028,0.34094688627826,0.78040900010721,1.01958172958925,22616991.38986893,5798726.033125467,1661285.6352572378,17498255.842334386,6127161.242523356,37888808.7306146,2667402.912533324,733177.2464962902,157209921.3505534,15461248.34230868,28345499.59490315,1459793.731908659,3390443.0809211,0.0,968.092649491846,528.7110455467454,4512754.813209232,1934717.7216791047,9695650.775416428,0,492.4429788403408,26066473.01972576,9304718.90683958,6994530.161302203,0.0,443.5140402800837,0,744.6866534552662,0,0,0,6437855.817422938,0.0,0,0,0,0,0,0.0,0.2133067851393935,0.224534727272727,0.3241631140636359,0.1217005624090905,0.8307938793545455,0.0633404545454545,0.1581480909090905,0.118479909090909,0.2262524471575755,2.172789836127272,0.1065429999999995,0.2380593633666665,0.333256909090909,0,0.6346740737780578,0,-0.07220438414128694,1,8.457069970173848,1,5.811417584756327,1,84.03693600729271,0,-0.045318096357846116,0,0.05844808149083747,0,0.10306298233092548,1,1.0142994681861524,0,1.578510869802642,0,-0.08248388816093666,0,-0.010804566240210534,1,0.14841262358030305
1701325343.969,1.11983130470407,1.00012684891826,1.74478592996585,1.04865970106557,7.024538357733499,60.36605884797884,0.61939593482761,0.28124946689991,0.55099341488277,9.27060909642542,0.34994210787467,0.83742119418465,1.05270488063374,30716186.077693768,7694043.269665972,1306994.8169685588,17182665.808481727,4130747.8970540855,34501195.42428366,2647928.1303447657,783599.0056164258,134041799.27717544,15520875.551632833,21214517.46761003,1823244.0764650127,3371038.387612496,0.0,964.026432515615,517.7974825275857,4429717.228062647,1935619.143071912,9934235.038805312,0,527.9808489089403,26671333.073857844,9340648.426007649,6980776.330056051,0.0,441.4665253552247,0,889.870553091337,0,0,0,9311100.581581883,0.0,0,0,0,0,0,0.0,0.2148849740545449,0.2083600909090905,0.384136366863636,0.1595416076,1.083732853309091,8.43287382199697,0.138561636363636,0.1119510909090905,0.215691792772727,1.7718780179454543,0.1000141818181815,0.2175451818181815,0.3204940909090905,0,0.6112818186270488,0,-0.03738517568467614,0,5.7639960665680405,0,4.375551884041613,0,66.44421608338527,1,270.8991655545819,0,-0.011338372339423586,0,0.06985658342307488,1,0.8321685167381361,0,-5.762593543008563,0,-0.09696328893016926,0,0.1114452890984694,0,0.09855592660050883
1701325348.969,1.21537209479013,1.06020796008908,2.13192625092694,1.28373534235418,8.35681003781366,84.93638469998923,0.60034227850865,0.27027555869386,0.5321198156597899,8.973339277574171,0.34676827790714,0.8681927045532299,1.05673739009221,22381068.59623733,5868739.088013845,1591739.8213213745,26683025.52616478,4186929.99945722,57872856.65541399,2676780.755863675,812102.2156911391,158390428.618361,15385225.170030816,27991519.138407804,1745392.3998630608,3355724.6407891912,0.0,980.2470499438524,506.2325647092058,4586704.181552301,3808684.916140472,9803696.97629678,0,547.1860150002863,26264861.763095453,9263070.802107835,6910546.93639936,70.11297500855872,439.2022303238258,0,980.2470499438524,0,0,0,15572650.65923264,0.0,0,0,0,0,0,0.0,0.2357232727272725,0.198446545454545,0.378589909090909,0.1616504309181815,1.0928851204696963,5.327681086104544,0.1372234545454545,0.090481818181818,0.2189634655696965,1.8763868361272729,0.0925932727272725,0.2183335528363635,0.3019191818181815,0,0.3336489554560558,0,0.0014542606134568814,0,5.995034672000543,0,4.300794695995592,0,65.81219647065248,1,270.6211126643587,0,-0.014209991911570796,0,0.0013771320917612684,1,0.8870133568736378,0,-5.292884866757447,0,-0.10643563270758705,0,0.10569646727583404,0,0.04777738511482221
1701325353.969,1.28154557627578,1.09166740803012,2.39287246732169,1.49021901711741,9.59546584166652,104.50132755702252,0.61310829909316,0.28962841949671,0.53011534205138,8.75356390751153,0.33959916288804,0.93930839512034,1.07692035964254,22511568.307104524,5826202.379429448,1284240.399372012,35068271.98072922,4281565.812092197,60052965.53758781,2664583.416294097,576789.0979883192,133377883.98472804,13040129.1810842,28243549.06100269,1862042.587384492,4115162.222912593,0.0,973.1171987792176,505.7771348938948,4521835.10347093,3914901.092401249,9960062.987479948,0,516.8361093085298,26542521.201837063,10983197.23183391,6973343.564701778,74.80185543664852,449.1145995138978,0,1047.9723679160804,0,0,0,17071322.664050795,0.0,0,0,0,0,0,0.0,0.2374268319393935,0.1842342727272725,0.3518775097363635,0.202921662912121,1.1076930765666666,8.759574165527273,0.138895636363636,0.086940382390909,0.2153431818181815,1.8346060179454544,0.0837844545454545,0.221421636363636,0.270119909090909,0,0.31352320830387725,0,0.0803211806490367,0,7.159440815381458,0,2.9508097408489675,0,64.79093076217126,1,270.89917113238346,0,-0.010583819478654277,0,-0.003916868306305332,1,0.8264081456193253,0,-5.606280256743503,0,-0.10803130755169832,0,0.08398673509924492,0,0.037981977176363535
1701325358.969,1.44788647521916,1.16453360730922,2.81839553435519,1.77024371919854,11.24771516055282,129.12887375502993,0.58658759726565,0.25113788752898,0.5139475878323599,8.85153998027437,0.3489266911962699,1.00804207912833,1.09392323121809,22139286.741814274,5736285.894138594,1607863.7827887712,34563674.37677615,4208066.8643068895,75324903.77087088,2674270.08944804,760661.5265721321,133154392.2810636,10820961.391553842,20703785.766849145,1823866.8214700369,3424462.144420131,0.0,957.6806172550852,507.4869906899359,4456770.387424009,3837192.842090224,9835292.438229457,0,515.3034632734854,26498045.812771603,10935398.188828118,6817893.637261061,73.1624542288113,448.14004376367615,0,1252.351576410496,0,0,0,22623617.50697912,0.0,0,0,0,0,0,0.0,0.240275842581818,0.173955545454545,0.4216583281090905,0.2002154726454544,1.3492615236272725,9.449118307958337,0.1410622727272725,0.068556909090909,0.1998546363636359,1.5995806543090905,0.0743221818181815,0.2255864125090905,0.2324252727272724,0,0.2807345953420963,0,0.15437061393100748,0,4.299096888360566,0,3.0327043219232337,0,48.470410661789856,1,270.8991729077584,0,-0.005322001134175025,0,-0.004079029436184101,0,0.5867512809985556,0,-4.236961984804253,0,-0.0980776273638071,0,0.056747897818070214,0,0.019580093019123446
1701325363.969,1.61324972673639,1.25962523204949,3.2009074554556505,2.00717017046515,12.73621505664338,151.1822523139764,0.60368623858269,0.25816939550949,0.51099890879747,8.581760341825099,0.34728072014093,1.1408788870589,1.15248260806734,29851699.591009445,7559806.821010705,1953447.5247169435,35840038.19612817,4439643.562923015,80199265.1461945,2032229.651002518,609487.3152945691,106087053.53311203,12992175.795766683,20738521.89544833,2146176.542733995,4068105.854513269,0.0,1092.4997332764324,514.4712996357503,9242546.30907531,5807917.188461399,9983441.688537316,0,550.2206870082517,26391620.151484583,12764509.936984977,6828556.554253253,71.76647860672111,443.938654961253,0,1529.4996265870052,0,0,0,26408522.39105952,0.0,0,0,0,0,0,73.9897758268755,0.2605423716575755,0.18005,0.4228715435484845,0.2423116625999999,1.3789919416363636,12.803557281802425,0.1393013636363635,0.0666805300090905,0.1916201543484845,1.4516234724909092,0.071694636363636,0.230291818181818,0.2109500909090905,0,0.07892612633168028,0,0.10874289081050392,0,4.254604165791932,0,1.8650371828359198,0,46.52196624948064,1,270.8991729915142,0,-0.009646877006446175,0,-0.0015189181441428445,0,0.4723133444929317,0,-0.6534441759886818,0,-0.09316990372832379,0,0.0287934033128181,0,0.007783352784677344
1701325368.969,1.6905906509241502,1.30639247702421,3.48073803305447,2.18942970033256,14.036760418848148,174.83676308861874,0.57562064592243,0.25029522334528,0.2241339563751099,8.58716946566253,0.34154347515522,1.1485137757182602,1.15714005058868,30011501.091544174,5795537.215300228,2014836.0074938324,44129438.69770519,4440673.334536919,96898667.20142928,2711538.711104557,384106.6550737238,103763667.93427569,12973604.446835214,28169443.103353545,2268326.079703429,3415929.685367496,0.0,1115.9141269207018,455.8624399473206,9105165.597956896,5802950.135403502,9847485.023608554,0,519.3638372640654,1322.5227810863169,12745412.37224314,6957250.938661881,75.9221501390176,447.2185322002439,0,1636.6740528170294,0,0,0,26796441.433231853,0.0,0,0,0,0,0,74.53642203337398,0.276488200933333,0.195048,0.4581817578454539,0.2840918478545455,1.5878007513727277,16.08902350454546,0.1250904545454545,0.044310727272727,0.059407727272727,1.2891616543090905,0.072069818181818,0.2229605296818179,0.210172545454545,0,-0.041059359676864915,0,0.017828954652031825,0,3.0392884780641793,0,0.932512681067692,0,33.37710933204846,1,270.8991729915142,0,-0.02917395465141226,0,0.06575595949703938,0,-0.12442216796313232,0,5.61784727238026,0,-0.09392769017898672,0,0.07364889935456631,0,0.0072383360455817725
1701325373.969,1.7840960848376102,1.35303981141579,3.7746380633630094,2.42110321787547,15.51653824768168,194.12556222809,0.59200345936517,0.276192515521,0.22362014364205,8.52662275147503,0.3334317805061,1.23274162621359,1.19530377918339,37633901.76501725,5737510.400921327,1592737.3659493937,52100489.11707281,6605680.157625495,112700000.50295489,2672718.327004488,546701.5667188333,81357910.85191368,10854267.376600953,35172328.69192908,2154693.682285072,3997460.7867524256,0.0,1179.2989275174548,430.6441438284153,8958833.755152216,5816407.367907305,9702791.327621205,0,493.0950865908817,1382.564179496315,10965155.274140164,6950376.813715625,72.04164907837344,509.43463274226224,0,1768.948391276182,0,0,0,27206939.85645669,74.41995675793528,0,0,0,0,0,5676.557336270922,0.2665180429371905,0.2032162663417999,0.454600367083659,0.3235884749152979,1.6543202906567631,15.971156097382291,0.0916425441387709,0.047664252931978,0.0404822081204425,1.197689826836009,0.070137371129334,0.236404150443054,0.1942581413531645,0,0.02995516985612312,0,-0.018892220078782884,0,3.155504289821124,0,0.2605088954399548,0,29.427855231081196,1,270.8991729915142,0,0.032856730130504275,0,0.05135012294078933,0,-0.01824427630140235,0,10.167871325442576,0,-0.08982150886288309,0,-0.003050511175729298,0,0.007956110407425498
