accuracy,failures,budget
0.92,4,50
0.9,5,50
0.94,3,50
0.9,5,50
0.84,8,50
0.88,6,50
0.92,4,50
0.8,10,50
0.92,4,50
0.86,7,50
0.94,3,50
0.9,5,50
0.9,5,50
0.9,5,50
0.88,6,50
0.82,9,50
0.92,4,50
0.94,3,50
0.94,3,50
0.9,5,50
0.9,5,50
0.84,8,50
0.94,3,50
0.92,4,50
0.86,7,50
0.9,5,50
0.8,10,50
0.94,3,50
0.9,5,50
0.82,9,50
0.92,8,100
0.89,11,100
0.88,12,100
0.9,10,100
0.9,10,100
0.89,11,100
0.9,10,100
0.94,6,100
0.93,7,100
0.9,10,100
0.93,7,100
0.89,11,100
0.85,15,100
0.9,10,100
0.88,12,100
0.92,8,100
0.87,13,100
0.92,8,100
0.85,15,100
0.96,4,100
0.87,13,100
0.91,9,100
0.94,6,100
0.86,14,100
0.91,9,100
0.9,10,100
0.88,12,100
0.83,17,100
0.85,15,100
0.86,14,100
0.88,24,200
0.86,28,200
0.905,19,200
0.875,25,200
0.84,32,200
0.92,16,200
0.91,18,200
0.85,30,200
0.885,23,200
0.91,18,200
0.88,24,200
0.875,25,200
0.9,20,200
0.86,28,200
0.87,26,200
0.87,26,200
0.9,20,200
0.93,14,200
0.925,15,200
0.87,26,200
0.865,27,200
0.945,11,200
0.845,31,200
0.875,25,200
0.9,20,200
0.895,21,200
0.875,25,200
0.86,28,200
0.885,23,200
0.895,21,200
0.88,48,400
0.92,32,400
0.895,42,400
0.8925,43,400
0.8775,49,400
0.8725,51,400
0.88,48,400
0.8775,49,400
0.9125,35,400
0.915,34,400
0.89,44,400
0.885,46,400
0.9325,27,400
0.8725,51,400
0.8675,53,400
0.89,44,400
0.8825,47,400
0.87,52,400
0.9,40,400
0.92,32,400
0.8825,47,400
0.905,38,400
0.8875,45,400
0.8725,51,400
0.8625,55,400
0.8775,49,400
0.9275,29,400
0.91,36,400
0.9,40,400
0.9025,39,400
0.885,92,800
0.90375,77,800
0.88,96,800
0.89125,87,800
0.88125,95,800
0.8825,94,800
0.9075,74,800
0.8875,90,800
0.90375,77,800
0.89,88,800
0.885,92,800
0.86875,105,800
0.8975,82,800
0.8975,82,800
0.90125,79,800
0.8875,90,800
0.89875,81,800
0.88375,93,800
0.88625,91,800
0.9175,66,800
0.9125,70,800
0.8875,90,800
0.89625,83,800
0.8875,90,800
0.90625,75,800
0.8875,90,800
0.9025,78,800
0.875,100,800
0.89875,81,800
0.88625,91,800
