time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,geospatialanalysisservice_energy,surveyservice_energy,surveyservice-db_energy,transformation-consumer_energy,transformation-worker_energy,unicloudauth_energy,unicloudauth-api_energy,unicloudauth-db_energy,geospatialanalysisservice_energy_Anomaly,geospatialanalysisservice_energy_Anomaly_Score,surveyservice_energy_Anomaly,surveyservice_energy_Anomaly_Score,surveyservice-db_energy_Anomaly,surveyservice-db_energy_Anomaly_Score,transformation-consumer_energy_Anomaly,transformation-consumer_energy_Anomaly_Score,transformation-worker_energy_Anomaly,transformation-worker_energy_Anomaly_Score,unicloudauth_energy_Anomaly,unicloudauth_energy_Anomaly_Score,unicloudauth-api_energy_Anomaly,unicloudauth-api_energy_Anomaly_Score,unicloudauth-db_energy_Anomaly,unicloudauth-db_energy_Anomaly_Score
1701209941.982,3.6384418322706567,51.84723849428972,0.0328238041555683,7.030571410085886,47.33872469901204,0.1813698687619299,0.1703659454678533,0.0370019330991416,0.0,91999535.82400136,13630190.794754244,2531938.4199622464,18999303.435754728,12291724.29558193,7162179.642283882,262210.0795236016,0.0,35595634.53518102,0.0,0.0,0.0,347083.3018829861,0.0,0.0,0.0,27569297.009734884,0.0,0.0,0.0,0.0,0.0,0.0,0.2906685837348481,1.625019436564899,0.0003702930439393,0.893212978981818,3.90339217764798,0.0645610496651513,0.0640756969696967,0.012893311954545,1,8.555851570853378,1,23.181938966487603,0,0.0009219360311760738,0,6.382204236593907,0,7.569302981153498,0,-0.00449221808148792,1,0.013766547484244995,1,0.17671249877423956
1701209971.982,11.491766510903338,200.8020646262516,0.0318900007370799,20.059107007441003,131.23250286495897,0.1674878186320433,0.1558952698549066,0.0341856498448516,0.0,183131204.22093055,7688099.626886778,8685093.133030897,39186820.57948804,9436011.368096156,5467554.5744221,397056.4536077553,0.0,59220481.60235468,0.0,0.0,0.0,2006093.197807696,0.0,0.0,0.0,63286349.84653043,0.0,0.0,0.0,0.0,0.0,0.0,0.7225356027252522,11.36114239609544,0.0029682440666663,1.8442714142388887,8.292271915045456,0.030715833333333,0.0288105752318179,0.0064466559772724,0,2.838725632303408,1,48.91433364152854,0,0.00044842921445109596,0,-1.0379651658626088,1,11.324887571648812,0,-0.0045245979657622115,0,-0.0003239218214972084,0,-0.01644800587368689
1701210001.982,15.185566173139073,275.9821650688284,0.0308335346872383,24.888278583370777,155.03682646317046,0.1644884291228833,0.1551742638532966,0.0305985089795883,0.0,186105050.7127509,5518607.397844951,10132125.410157483,42600652.0664006,8392796.977522107,5695671.344369553,64843.16477564353,0.0,34002709.12501167,0.0,0.0,0.0,1340562.8845044598,0.0,0.0,0.0,74675300.89609182,0.0,0.0,0.0,0.0,0.0,0.0,1.000600651515151,18.40919709630768,0.0037206295848481,1.7984863484848483,10.023125687345454,0.0156334610015149,0.0132492643318179,0.0,0,0.29773576052819806,1,48.91433364152908,0,0.00034211421269958464,0,-0.8399281815833035,0,6.11147383863462,0,0.004376728261753726,0,0.0031268972420619434,0,-0.31620086644864803
1701210031.982,16.05211922528584,275.707917862501,0.0308360865144266,25.12266444808087,154.59357024139806,0.168472631836685,0.1576114259875966,0.0286818690970333,0.0,243748649.52994335,3425917.781143157,9367858.51488057,31766096.20633763,9816696.165549029,5191107.688167684,401138.7889157348,0.0,7097938.384873477,0.0,0.0,0.0,916.95775082634,0.0,0.0,0.0,73487719.11822174,0.0,0.0,0.0,0.0,0.0,0.0,1.2693584242424238,17.62620225289091,0.0011197287045452,1.6157227878787872,9.774942029743938,0.0175987456424239,0.0126045534772724,0.0,0,-1.0530635278571197,1,48.91433364152908,0,0.0007684070458466863,0,0.13017863614723524,0,6.852740680367392,0,0.002905497980009386,0,0.0033975858928485536,0,-0.31620086644864803
1701210061.982,16.55160620626161,275.1581663580692,0.0335198908739816,24.954445442612585,154.05866328917588,0.16613363883419,0.1595972808407966,0.0289572456963283,0.0,317870336.82332784,0.0,7846378.750977159,30848169.9755193,8828663.637408141,2850868.2153002787,332316.00660627376,0.0,8432230.226634396,0.0,0.0,0.0,1419.8126246222027,0.0,0.0,0.0,68041356.77688478,0.0,0.0,0.0,0.0,0.0,0.0,1.2134886818181816,17.450804323590905,0.0,1.6984552878787875,8.91778709788485,0.015696990013636,0.0153013646909088,0.0,0,-0.8692122214837639,1,48.91433364152908,0,-8.33546700818033e-06,0,-0.3438976646517986,1,9.509209261933364,0,0.004327710780422933,0,0.0023329452835270104,0,-0.31620086644864803
1701210091.982,16.610036131482126,274.7900136048791,0.0290091951203283,24.33708080425917,152.9415956923996,0.1611518444757233,0.1654170929903499,0.0320996879461649,0.0,303383303.6385515,1375539.4069209427,8384258.571496663,37092951.39396226,9118854.873638287,4040687.5868628896,333107.1334188508,0.0,25434983.40359208,0.0,0.0,0.0,1734.3718455219737,0.0,0.0,0.0,86561201.70700617,0.0,0.0,0.0,0.0,0.0,0.0,1.183395909090909,16.031137551313634,0.0,2.1153556818181816,10.118797975056564,0.0122015919969694,0.0144041367939391,0.0,0,-0.7486350486053368,1,48.91433364152908,0,-8.33546700818033e-06,0,-1.8202550079759447,0,5.830718058860281,0,0.007169510960942205,0,0.002667414698926507,0,-0.31620086644864803
1701210121.982,16.401835323885468,275.50307989380923,0.0306128774701933,24.02770771174043,150.8673068688307,0.1677877411725716,0.1587828298302383,0.0347363882582766,0.0,277891897.2503541,5505043.740275004,8676757.144534105,37194653.54586517,7041677.853986825,7370436.788652237,599309.7571603962,0.0,12734710.26220444,0.0,0.0,0.0,1142.668767618282,223.8166414185224,0.0,0.0,107273593.72790676,0.0,0.0,0.0,0.0,0.0,0.0,1.271662939393939,17.968200911245454,0.0,1.8082614545454545,9.801919659377775,0.0120938908363634,0.0156190798363633,0.0,0,-1.0595210544714604,1,48.91433364152908,0,-8.33546700818033e-06,0,-0.8837582413380716,0,6.771268744494318,0,0.007261759309670879,0,0.002219225478235387,0,-0.31620086644864803
1701210151.982,16.40480715154796,275.5466760823877,0.0319343374228133,24.923478069226373,151.7506990737056,0.1769231773529383,0.1544187701734033,0.033882413513685,0.0,253567497.70059785,13156121.518565016,6766428.027654778,34107036.38238552,5981033.681567739,8114134.674379193,399501.99111828953,0.0,25185493.96086344,0.0,0.0,0.0,334447.6859544722,975.5755998727384,0.0,0.0,80801498.66433592,0.0,0.0,0.0,0.0,0.0,0.0,1.05613053030303,18.58829698980152,0.0003570186848484,1.0825079545454546,10.093526125581818,0.0159317270742421,0.0160660433681814,0.0010418438727272,0,-0.07588739167560021,1,48.91433364152908,0,0.0009247791752500234,0,4.42413277724561,0,5.904611708600168,0,0.004147438598785413,0,0.0020634217422141887,0,-0.0250365104888699
1701210181.982,16.57401053039568,275.27561784436875,0.0315117989325199,25.18424401785038,151.83951017572144,0.1755342626464133,0.1585765994805666,0.0320162708001316,0.0,247584112.6435158,12490019.658583784,6698623.1245744,36475367.01766723,9804216.292551022,6603220.13490158,331746.6698551933,0.0,21285243.33552987,0.0,0.0,0.0,2008562.190352692,1797.4885213732057,0.0,0.0,61682675.06457762,0.0,0.0,0.0,0.0,0.0,0.0,1.074854303030303,16.256573334889392,0.0024886201363632,1.174480212121212,11.332824719752525,0.0134663412166663,0.0109437530272725,0.0034840968303028,0,-0.191083089547341,1,48.91433364152908,0,0.0005234257403543552,0,3.545487740252497,0,2.5188914743435973,0,0.006107190695267661,0,0.004141690855377078,0,-0.16729297038180535
1701210211.982,15.93742876072386,275.311618447462,0.0316791752913633,25.076788398256934,150.33825246676398,0.1653991994233416,0.1589642220855733,0.0329092841111466,0.0,219988103.0667925,12520462.756105289,8656947.721978078,43433126.91288714,9908517.94456183,3091285.59803566,396855.8475742095,0.0,149.56608075722275,0.0,0.0,0.0,1343466.0750361618,1928.4901647611507,0.0,0.0,80358071.18740815,0.0,0.0,0.0,0.0,0.0,0.0,1.016525803030303,14.792624466401517,0.00350712290303,1.5004605454545452,10.97038803805202,0.0086433395060604,0.0101097177621208,0.0027951762090906,0,0.18574386492182526,1,48.91433364152908,0,0.00037087698460425145,0,0.8830606908475147,0,3.4511676076567745,1,0.010365436360089575,0,0.004540803567344653,0,-0.23904731682410002
1701210229.482,15.83745323413928,275.17497526951723,0.034745557045,25.155742082276177,150.31999982930589,0.15829665067439,0.16090071171738,0.03841750382457,0.0,211575174.0105636,16791892.612519972,10061328.887278,42138055.3768754,8411723.870734137,1457065.796789858,399842.6458803817,0.0,25196505.028579697,0.0,0.0,0.0,0.0,1821.996515550284,0.0,0.0,81919333.188626,0.0,0.0,0.0,0.0,0.0,0.0,0.854379636363636,16.006225798681818,0.002079048163636,1.4545739090909091,10.626729272551517,0.0113991818181815,0.0129125576272725,0.0021006136272725,0,1.5010335453094115,1,48.91433364152908,0,0.0005919207816305061,0,1.211613179255842,0,4.385172427319757,0,0.00786351849158251,0,0.003266999482832489,0,-0.1376582774265802
