time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,geospatialanalysisservice_energy,surveyservice_energy,surveyservice-db_energy,transformation-consumer_energy,transformation-worker_energy,unicloudauth_energy,unicloudauth-api_energy,unicloudauth-db_energy,geospatialanalysisservice_power,surveyservice_power,surveyservice-db_power,transformation-consumer_power,transformation-worker_power,unicloudauth_power,unicloudauth-api_power,unicloudauth-db_power
1701171543.414,2.8805522162643498,0.09390372593795,0.03629589888567,12.57501358015562,98.83468272831466,0.16522388469457,0.17343672837321,0.04034213628335,227.9904261832756,65697448.82002983,14226706.662016043,12567.900778174157,28021493.458522115,12708356.75324206,7287971.683420642,819656.930370921,227.9904261832756,16286453.403310746,0,0.0,0.0,0.0,1739.7706357072063,0.0,0,0,0,0,0.0,0,0,0,0.2034691776,0.0692426712,0.0,0.5823757596,4.9256615134,0.040069,0.0861629457,0.0,0.04069383552,0.01384853424,0.0,0.11647515192,0.9851323026799998,0.0080138,0.01723258914,0.0
1701171548.414,7.81580419595314,0.0956917727931,0.03663496448301,22.06254594470804,217.99435063046624,0.16019546069222,0.17060137288909,0.03924874046976,218.10436634717783,67366551.68727769,14563298.98147104,14558.08585090596,41533425.0728863,12857317.203318594,7513982.072113191,798370.9954906825,218.10436634717783,16700302.180283455,0,0.0,9847491.545189504,0.0,2093.801916932908,0.0,0,0,0,0,3482047.813411079,0,0,0,0.2317719753,0.0472623636363635,0.0,1.0528531323,6.710099935200001,0.0357930909090905,0.080281727272727,0.0,0.04635439506,0.0094524727272727,0.0,0.21057062646,1.34201998704,0.0071586181818181,0.0160563454545454,0.0
1701171553.414,11.83559514706957,0.08905453819688,0.01981829715001,29.95805926956455,326.9525134915514,0.15295310599078,0.16484883921367,0.03991310157462,224.77500548767105,67859918.24004456,13847283.123380683,17057.546665683905,40337961.05383734,12967218.728110598,6041246.97425365,814763.9535743329,224.77500548767105,8411457.087162351,0,75.47587020214118,9672723.94043528,0.0,2253.3558277708503,0.0,0,0,0,0,9649044.673539516,0,0,0,0.2462904585,0.0448154817,0.0,1.5009238179,11.110671520833332,0.034455727272727,0.0800109999999995,0.0,0.0492580917,0.00896309634,0.0,0.30018476358,2.2221343041666666,0.0068911454545454,0.0160021999999999,0.0
1701171558.414,16.00777529337582,0.08533778976704,0.03400970663447,37.90928297094826,418.48487310885895,0.14752155088197,0.15827610483324,0.03916842419851,215.22401653413675,56347494.50588975,9174757.77809348,1706130.3124429015,58532136.65959471,15122879.250917,6032037.215435616,1195488.933164282,215.22401653413675,8148244.510385755,0,224.52037273890005,16103671.665813155,0.0,2250.508232449956,0.0,0,0,0,0,9860185.82193284,0,0,0,0.475348311,0.0448154817,0.0,1.939130690333333,17.891964011333332,0.035273545454545,0.080828818181818,0.0,0.0950696622,0.00896309634,0.0,0.3878261380666666,3.5783928022666665,0.007054709090909,0.0161657636363636,0.0
1701171563.414,20.16766345251375,0.08392313927251,0.0351992382905499,45.59120470247215,540.3100794498498,0.14439940789473,0.15373156156599,0.0396369568414,217.60612017212983,56561105.3705208,9460084.52045263,1726788.8410907814,59970411.29563246,12849628.070175435,6073796.243681045,1213200.2058672155,217.60612017212983,8179134.145681017,0,378.1179033657663,27150346.03848124,0.0,2418.2133500608834,0.0,0,0,0,0,10995564.773936158,0,0,0,0.4830143844,0.0323044545454545,0.0,1.9404676428,18.013222485033335,0.034537636363636,0.0749525631,0.0,0.09660287688,0.0064608909090909,0.0,0.38809352856,3.602644497006667,0.0069075272727272,0.01499051262,0.0
1701171568.414,23.84926761629043,0.07887714464169,0.0351661284953399,55.28996952988137,647.3138882587679,0.13668155046249,0.1437819316466899,0.02759654536466,218.24769550468005,47965214.88666005,14332060.955762684,1689251.3861547075,67015352.71289449,12577394.092283469,7305169.64047936,1252567.9519355083,218.24769550468005,8322920.313016643,0,517.8348895591396,41826167.38668815,0.0,2327.066134043497,0.0,0,0,0,0,19884285.801840324,0,0,0,0.7140491562,0.0309432423,0.0,2.3877272781,23.92599053866668,0.0330140717999999,0.049511727272727,0.0,0.14280983124,0.00618864846,0.0,0.47754545562,4.785198107733335,0.00660281436,0.0099023454545454,0.0
1701171573.414,28.49535786808366,0.07520555256773,0.0344323672718,63.37879399607726,768.8656406584084,0.13336899389629,0.1400293619815399,0.03950576704023,219.1116420891211,56167912.79403327,9323437.398491357,1703815.196861833,61795753.74179754,12883589.346921569,6004219.312005253,807836.8546757302,219.1116420891211,8123703.95869191,0,743.861688217347,43526455.20902456,0.0,2689.5268668150147,0.0,0,0,0,0,19842327.416176364,0,0,0,0.9450706929,0.0309432423,0.0,2.8296816615,24.203977040958332,0.0248184545454545,0.0469166592,0.0010044345,0.18901413858,0.00618864846,0.0,0.5659363323,4.840795408191667,0.0049636909090909,0.00938333184,0.0002008869
1701171578.414,32.10300569650049,0.0743941075627799,0.03275224348004,70.49931576006097,875.2931718844283,0.12760195698649,0.1350475246606799,0.03760207558697,214.2595595543233,47611770.13842029,8841278.66383736,3382986.5369960447,61306674.95656945,12843942.916659052,4579253.875250314,1150183.3987954964,214.2595595543233,8263412.762387614,0,817.5055339841057,43181809.41757338,0.0,2734.109619520878,0.0,0,0,0,0,19840753.255286336,0,0,0,0.9487959942,0.0174212727272725,0.0,2.8327256502,24.61699318245333,0.0207550909090905,0.0346644545454545,0.0010044345,0.18975919884,0.0034842545454545,0.0,0.56654513004,4.923398636490666,0.0041510181818181,0.0069328909090909,0.0002008869
1701171583.414,36.77466236417696,0.07171709485628,0.0177676299209799,79.07418110076149,1002.5123477073377,0.1233809144287499,0.12646462701959,0.03854658771866,221.42535363546267,47467992.07258314,9407419.643832624,3448534.043025061,80837591.44315107,10781657.530968728,4467278.970888893,1185808.3651285004,221.42535363546267,8238471.826760488,0,984.1058623493756,42882257.03234242,0.0,3112.5183188290425,0.0,0,0,0,0,19512018.850365315,0,0,0,0.9596835077999994,0.0161547462,0.0,2.8354658217,24.785213049083332,0.0192461958,0.019589909090909,0.0010044345,0.1919367015599999,0.00323094924,0.0,0.56709316434,4.957042609816667,0.00384923916,0.0039179818181818,0.0002008869
1701171588.414,40.53087675453488,0.06677884726836,0.0309729122397,86.60890742694808,1084.6082277606947,0.11483526122069,0.1214768814823,0.02726469134394,219.6050397640961,37830872.04752934,9148473.154837796,3442474.616292797,105475985.8521586,10465921.097770156,4559300.188240505,1250393.9618623927,219.6050397640961,8207283.582089551,0,1511.2160566706018,41970695.62589979,0.0,3023.659247776178,0.0,0,0,0,0,19589945.276452847,0,0,0,1.1899942269,0.0051773636363634,0.0,2.856501285,30.963659070652376,0.0085111818181815,0.0073459999999995,0.0010044345,0.23799884538,0.0010354727272727,0.0,0.571300257,6.192731814130475,0.0017022363636363,0.0014691999999999,0.0002008869
